Size, Seq, Par, Libc
500000, 0.174231, 0.601081, 0.241426
1000, 0.000221, 0.599525, 0.000481
350000, 0.119281, 1.764233, 0.166311
100000, 0.031030, 1.234405, 0.043310
10000, 0.002646, 0.862028, 0.003680
100000, 0.031002, 1.330217, 0.043122
100, 0.000019, 0.074988, 0.000035
100000, 0.031504, 0.842769, 0.042968
500000, 0.174071, 1.822367, 0.242654
10000, 0.002614, 1.044703, 0.003690
500000, 0.172057, 1.648431, 0.240955
350000, 0.119545, 1.227885, 0.166682
1000, 0.000224, 0.490405, 0.000482
10000, 0.002717, 0.899619, 0.003696
350000, 0.117354, 1.468411, 0.164135
350000, 0.118207, 1.351069, 0.155106
100, 0.000018, 0.095272, 0.000036
1000, 0.000224, 0.433751, 0.000497
350000, 0.118801, 0.798954, 0.164098
100000, 0.031062, 1.530301, 0.043049
500000, 0.175113, 0.991558, 0.241219
100000, 0.031230, 1.366608, 0.043033
350000, 0.117998, 2.087994, 0.166252
100, 0.000019, 0.141320, 0.000036
1000, 0.000225, 0.385494, 0.000471
1000, 0.000258, 0.305602, 0.000474
10000, 0.002645, 0.828590, 0.003661
1000, 0.000223, 0.489868, 0.000479
10000, 0.002651, 1.066663, 0.003732
350000, 0.119559, 1.719977, 0.165774
10000, 0.002673, 0.705315, 0.003726
1000, 0.000229, 0.554353, 0.000489
1000, 0.000226, 0.593471, 0.000484
100, 0.000020, 0.144506, 0.000038
10000, 0.002592, 1.004474, 0.003662
100000, 0.031080, 1.182203, 0.043178
100, 0.000020, 0.146498, 0.000035
350000, 0.118207, 0.979470, 0.166305
350000, 0.119393, 1.959541, 0.166314
500000, 0.174948, 1.889331, 0.235047
100, 0.000020, 0.070176, 0.000037
500000, 0.173943, 1.329306, 0.241056
500000, 0.173210, 1.090462, 0.240944
100, 0.000018, 0.122452, 0.000036
100000, 0.031364, 1.331945, 0.042944
10000, 0.002683, 1.209024, 0.003666
10000, 0.002657, 0.979974, 0.003662
1000, 0.000228, 0.581640, 0.000471
1000, 0.000220, 0.509858, 0.000482
100, 0.000019, 0.053826, 0.000035
100, 0.000019, 0.047076, 0.000035
100000, 0.031386, 1.447011, 0.043037
100000, 0.030889, 1.911616, 0.042971
500000, 0.173872, 0.670919, 0.241244
350000, 0.123570, 0.784997, 0.167030
500000, 0.173939, 2.156266, 0.241257
10000, 0.002594, 1.019540, 0.003720
100000, 0.030965, 1.622029, 0.042963
100, 0.000019, 0.101959, 0.000036
, 0.361608, 2.160313, 0.504408
