Size, Seq, Par, Libc
100, 0.000036, 0.159339, 0.000050
100, 0.000036, 0.072043, 0.000048
100, 0.000036, 0.143081, 0.000050
100, 0.000035, 0.133086, 0.000043
100, 0.000033, 0.130313, 0.000045
1000, 0.001486, 0.283516, 0.000601
1000, 0.000437, 0.194317, 0.000596
1000, 0.000437, 0.232189, 0.000610
1000, 0.000447, 0.254306, 0.000588
1000, 0.000414, 0.469471, 0.000594
10000, 0.005524, 0.734601, 0.005569
10000, 0.004805, 0.667159, 0.005163
10000, 0.004812, 0.675409, 0.005498
10000, 0.005534, 0.617827, 0.005424
10000, 0.005493, 0.825415, 0.004913
100000, 0.054841, 1.052050, 0.055488
100000, 0.058714, 0.498430, 0.063847
100000, 0.052961, 0.544451, 0.057003
100000, 0.051728, 1.414662, 0.065775
100000, 0.056929, 1.143308, 0.065083
1000000, 0.657926, 1.036330, 0.677056
1000000, 0.681688, 1.296428, 0.662375
1000000, 0.682015, 1.095610, 0.664829
1000000, 0.665645, 1.673581, 0.659027
1000000, 0.683855, 0.904215, 0.691698
